decision_id,dish_code,dish_name,decision_area,required_decision,options,recommended_option,evidence_ids,impact_cost,impact_price,impact_safety,impact_equipment,decision_owner,unblock_condition,current_status
OCD-0073,VKM-015,Оливки и маслины,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0074,VKM-015,Оливки и маслины,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0075,VKM-015,Оливки и маслины,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0076,VKM-016,Ассорти фирменных солений,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0077,VKM-016,Ассорти фирменных солений,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0078,VKM-016,Ассорти фирменных солений,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0079,VKM-016,Ассорти фирменных солений,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0080,VKM-016,Ассорти фирменных солений,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0081,VKM-017,Ростбиф с луком и гренкой,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0082,VKM-017,Ростбиф с луком и гренкой,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0083,VKM-017,Ростбиф с луком и гренкой,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0084,VKM-017,Ростбиф с луком и гренкой,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0085,VKM-017,Ростбиф с луком и гренкой,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0086,VKM-018,Традиционный красный борщ,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0087,VKM-018,Традиционный красный борщ,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0088,VKM-018,Традиционный красный борщ,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0089,VKM-018,Традиционный красный борщ,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0090,VKM-018,Традиционный красный борщ,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0091,VKM-019,Мурманская треска со сливочно-горчичным соусом,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0092,VKM-019,Мурманская треска со сливочно-горчичным соусом,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0093,VKM-019,Мурманская треска со сливочно-горчичным соусом,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0094,VKM-019,Мурманская треска со сливочно-горчичным соусом,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0095,VKM-019,Мурманская треска со сливочно-горчичным соусом,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0096,VKM-020,Креветки по-тайски,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0097,VKM-020,Креветки по-тайски,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0098,VKM-020,Креветки по-тайски,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0099,VKM-020,Креветки по-тайски,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0100,VKM-020,Креветки по-тайски,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0101,VKM-021,Бургер VARSHAVKA,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0102,VKM-021,Бургер VARSHAVKA,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0103,VKM-021,Бургер VARSHAVKA,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0104,VKM-021,Бургер VARSHAVKA,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0105,VKM-021,Бургер VARSHAVKA,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
